CED_CODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
CED101,38,2167,643,420,1837,1,1597,2.8
CED102,35,2167,637,461,1730,1.1,1597,2.8
CED103,36,2200,722,462,2104,1,1812,2.7
CED104,41,2500,789,530,2460,0.8,2250,3
CED105,32,1950,462,390,1285,1.1,1220,3.2
CED106,39,2800,885,550,2706,0.9,2337,2.9
CED107,40,1560,607,250,1531,0.8,1208,2.5
CED108,33,1960,596,350,1575,1,1475,3.2
CED109,41,2500,806,450,2215,0.9,1801,2.6
CED110,47,1517,529,290,1257,0.8,1002,2.3
CED111,38,2000,595,330,1801,0.9,1368,2.5
CED112,40,1733,591,340,1542,0.8,1266,2.6
CED113,43,1733,734,260,1743,0.8,1357,2.4
CED114,42,1300,620,200,1442,0.8,1147,2.4
CED115,36,1733,452,332,1275,1.1,1211,3.2
CED116,48,1517,535,280,1278,0.7,1040,2.3
CED117,36,2600,990,481,2592,1,2087,2.4
CED118,34,2200,744,410,2052,0.9,1939,3.1
CED119,38,2383,825,443,2300,0.9,2086,2.9
CED120,38,2000,716,325,1901,0.8,1622,2.8
CED121,39,1733,592,290,1547,0.8,1293,2.6
CED122,34,2513,773,525,2235,1.1,1790,2.5
CED123,34,2000,721,365,1836,0.8,1610,2.8
CED124,50,1517,493,260,1203,0.8,968,2.3
CED125,34,1950,667,360,1709,0.9,1571,3
CED126,42,2700,841,550,2374,0.9,2051,2.8
CED127,41,1950,706,355,1889,0.8,1552,2.6
CED128,35,2000,526,390,1509,1,1410,3.1
CED129,37,2500,819,550,2400,0.9,2265,3.1
CED130,41,1365,571,230,1363,0.8,1086,2.4
CED131,37,1800,666,345,1820,0.8,1396,2.4
CED132,37,2700,1156,560,2998,1,2348,2.4
CED133,46,1387,508,260,1243,0.8,997,2.4
CED134,41,1300,610,190,1420,0.8,1140,2.4
CED135,33,2000,644,410,1725,1.1,1594,2.8
CED136,39,1680,585,301,1480,0.8,1235,2.5
CED137,34,2300,755,520,2108,1.1,1895,2.7
CED138,47,1733,559,350,1363,0.8,1092,2.4
CED139,40,1300,609,220,1437,0.8,1147,2.4
CED140,43,1900,628,355,1668,0.8,1301,2.5
CED141,42,1733,598,325,1573,0.8,1258,2.5
CED142,32,2500,951,571,2498,1.2,1922,2.1
CED143,38,2947,1106,580,2989,1,2380,2.5
CED144,34,2000,490,380,1391,1.1,1280,3
CED145,37,3000,1233,610,3231,1,2372,2.3
CED146,33,2080,565,380,1635,1,1570,3.4
CED147,41,1800,581,330,1555,0.8,1301,2.6
CED197,57,0,567,0,0,0,0,0
CED201,39,1750,664,360,1830,0.8,1587,2.8
CED202,39,1408,592,250,1507,0.8,1190,2.4
CED203,36,1950,656,340,1815,0.9,1440,2.5
CED204,41,1400,602,250,1470,0.8,1186,2.4
CED205,37,1733,523,325,1461,0.9,1301,2.8
CED206,35,1600,487,320,1428,0.9,1329,3.1
CED207,39,1733,663,330,1731,0.8,1469,2.7
CED208,35,2000,550,380,1832,0.9,1424,2.6
CED209,40,1625,652,300,1720,0.8,1387,2.5
CED210,40,1495,571,270,1458,0.8,1152,2.4
CED211,39,1900,678,350,1895,0.8,1517,2.6
CED212,41,1700,650,301,1696,0.8,1322,2.5
CED213,44,1700,614,296,1516,0.8,1223,2.4
CED214,36,1950,670,321,1841,0.9,1486,2.5
CED215,43,1300,548,210,1351,0.7,1061,2.3
CED216,42,2400,849,421,2592,0.9,2012,2.6
CED217,33,1700,610,301,1586,0.9,1473,3.1
CED218,35,2200,960,396,2572,1,1908,2.3
CED219,33,1733,611,330,1540,0.9,1465,3.1
CED220,38,1950,586,357,1672,0.9,1433,2.7
CED221,43,1300,625,225,1419,0.8,1135,2.3
CED222,37,1800,680,340,1808,0.9,1501,2.7
CED223,40,2000,749,350,2131,0.8,1752,2.6
CED224,38,2500,853,401,2598,0.9,2029,2.6
CED225,37,1798,702,350,1922,0.8,1721,2.9
CED226,32,1733,675,320,1697,0.9,1597,3
CED227,43,1083,551,185,1308,0.8,1016,2.3
CED228,37,1800,591,323,1630,0.9,1403,2.7
CED229,34,1738,698,325,1784,0.8,1610,2.9
CED230,39,1500,576,260,1427,0.8,1163,2.5
CED231,30,2000,754,415,2169,1.1,1474,2.1
CED232,35,2167,1038,420,2515,1,1862,2.1
CED233,42,2000,642,410,1953,0.8,1697,2.8
CED234,43,1300,561,205,1349,0.8,1077,2.4
CED235,35,1733,568,325,1567,0.9,1432,2.9
CED236,44,1192,558,200,1345,0.7,1044,2.3
CED237,34,1950,683,356,1862,0.9,1512,2.5
CED297,45,0,2649,0,0,0,0,0
CED301,34,1517,621,295,1482,0.8,1301,2.7
CED302,38,2015,743,400,2050,0.8,1738,2.7
CED303,41,1950,681,390,1815,0.8,1518,2.6
CED304,33,2167,927,400,2466,0.9,1863,2.3
CED305,38,1733,687,250,1733,0.8,1402,2.5
CED306,39,1759,674,275,1703,0.8,1348,2.5
CED307,37,1895,739,350,1946,0.8,1735,2.8
CED308,38,1937,652,395,1642,0.8,1413,2.6
CED309,43,1733,622,370,1519,0.8,1289,2.5
CED310,44,1824,595,375,1466,0.8,1241,2.5
CED311,38,1733,636,220,1673,0.8,1357,2.6
CED312,34,1777,659,360,1618,0.8,1461,2.9
CED313,34,2167,885,400,2362,0.9,1885,2.4
CED314,37,1531,652,280,1585,0.8,1295,2.5
CED315,34,1733,676,295,1663,0.8,1386,2.5
CED316,47,1400,484,275,1143,0.8,947,2.3
CED317,42,1500,590,220,1409,0.8,1153,2.5
CED318,39,1670,678,280,1552,0.9,1310,2.5
CED319,37,1950,765,360,1994,0.8,1607,2.5
CED320,38,1733,575,320,1430,0.8,1251,2.7
CED321,43,1296,581,200,1332,0.8,1079,2.4
CED322,41,1928,652,400,1657,0.8,1385,2.5
CED323,40,1798,654,370,1539,0.9,1249,2.3
CED324,34,1950,633,385,1813,0.9,1598,2.8
CED325,33,1733,668,350,1706,0.8,1548,2.9
CED326,38,1800,664,350,1658,0.8,1384,2.6
CED327,32,1719,623,340,1529,0.9,1429,3
CED328,34,2167,763,410,2359,0.8,1959,2.7
CED329,47,1391,509,261,1215,0.8,1015,2.4
CED330,39,1820,625,315,1641,0.8,1477,2.9
CED397,52,0,758,0,0,0,0,0
CED401,37,1733,678,310,1918,0.9,1389,2.3
CED402,43,1100,571,185,1334,0.8,1049,2.3
CED403,41,1733,668,300,1855,0.8,1434,2.5
CED404,44,1100,554,175,1297,0.7,1009,2.3
CED405,41,1733,641,285,1699,0.8,1241,2.3
CED406,38,1408,584,290,1412,0.8,1166,2.5
CED407,39,1500,617,300,1556,0.8,1303,2.5
CED408,45,1517,611,275,1540,0.8,1238,2.5
CED409,37,1460,535,268,1368,0.8,1127,2.5
CED410,41,1733,632,300,1750,0.8,1325,2.4
CED411,36,1300,535,245,1320,0.8,1087,2.6
CED497,58,0,924,0,0,0,0,0
CED501,33,1950,663,350,1775,0.8,1528,2.7
CED502,33,1900,660,350,1726,0.8,1537,2.8
CED503,40,1950,594,320,1626,0.7,1337,2.6
CED504,35,1993,653,380,1793,0.8,1617,2.9
CED505,38,2500,912,400,2782,0.8,2046,2.4
CED506,39,1733,989,190,1974,0.8,1546,2.6
CED507,39,1757,643,310,1646,0.7,1357,2.5
CED508,37,2100,758,380,2077,0.8,1703,2.5
CED509,38,1950,672,350,1805,0.8,1520,2.7
CED510,39,2100,769,410,2263,0.7,1994,2.8
CED511,40,1517,692,220,1642,0.8,1318,2.4
CED512,33,2071,714,360,1857,0.8,1653,2.8
CED513,36,2040,822,380,2141,0.9,1688,2.3
CED514,36,1983,715,350,1847,0.8,1471,2.4
CED515,34,2000,711,360,1897,0.8,1521,2.4
CED516,40,2142,705,400,2156,0.8,1792,2.7
CED597,43,0,2648,0,0,0,0,0
CED601,40,1300,558,220,1372,0.8,1051,2.3
CED602,43,1153,527,200,1276,0.8,983,2.3
CED603,39,1408,641,265,1622,0.8,1222,2.3
CED604,42,1450,643,270,1572,0.8,1262,2.4
CED605,45,1199,512,205,1228,0.8,981,2.4
CED697,47,0,1280,0,0,0,0,0
CED701,35,2000,691,100,1634,1.2,1622,3.1
CED702,34,2167,1027,420,2381,0.9,2149,2.7
CED797,48,0,1329,0,0,0,0,0
CED801,37,2058,1016,390,2498,0.8,2084,2.5
CED802,33,2058,972,377,2384,0.9,2037,2.6
CED897,25,0,537,0,0,0,0,0
CED997,37,0,2125,0,0,0,0,0
